bids_name	NumberOfShells	bValues	bValuesEstimation	bdiffs_max	bdiffs_mean	bdiffs_median	bdiffs_min	efc_shell01	efc_shell02	fa_degenerate	fa_nans	fber_shell01	fber_shell02	fd_mean	fd_num	fd_perc	ndc	sigma_cc	sigma_pca	sigma_piesno	snr_cc_shell0	snr_cc_shell1_best	snr_cc_shell1_worst	spikes_global	spikes_slice_i	spikes_slice_j	spikes_slice_k	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv
sub-14_dwi	1	[0.0, 1000.0]	[1000.0]	0.4658	0.1624	0.1386	0.0072	0.4471	0.4811	0.0	0.0	4643.627	1410.2852	3.9419	92	98.9247311827957	0.7845	68.1997	9.658	1.9809	6.48	6.38	6.38	877.1	4912.87	4252.41	3867.53	134.78	4.4478	23.6749	5.0	371899.0	1.0	111.0	62.087	25.2118	121.5734	410.5817	372.0	103237.0	118.0	763.0	226.3048	24.2993	62.2693	352.8645	326.0	23523.0	241.0	535.0	138.1464
sub-15_dwi	1	[0.0, 1000.0]	[1000.0]	0.0635	0.0326	0.0332	0.0103	0.3539	0.4542	0.0	0.0	2323.8967	523.5375	1.4906	62	98.41269841269842	0.6961	37.0651	14.8621	2.3111	7.47	7.41	7.41	629.03	4935.13	4402.28	3789.02	144.7996	4.4478	20.7908	7.0	905600.0	2.0	84.0	55.2932	15.1587	149.7428	467.8417	367.0	142976.0	187.0	1104.0	314.0081	48.1825	53.3737	315.8281	295.0	32720.0	211.0	470.0	132.5025
sub-16_dwi	1	[0.0, 1000.0]	[1000.0]	0.0346	0.0176	0.0176	0.0026	0.4225	0.4949	0.0	0.0	1753.8005	448.2522	1.0261	92	98.9247311827957	0.76	52.6324	15.6877	2.6412	4.88	5.13	5.13	707.74	4520.54	3988.94	3398.94	181.8857	5.9304	27.1643	8.0	865125.0	2.0	109.0	78.1398	17.653	128.9864	411.6239	355.0	183451.0	179.0	823.0	233.6899	58.7128	48.9259	308.0589	287.0	51247.0	210.0	450.0	121.9687
sub-18_dwi	1	[0.0, 1000.0]	[1000.0]	0.208	0.0888	0.0764	0.0096	0.4647	0.4929	0.0	0.0	3996.5813	1319.6805	1.48	92	98.9247311827957	0.8521	42.2542	9.0137	1.6508	8.63	8.68	8.68	915.35	4907.07	4397.25	3998.79	146.4866	4.4478	25.2914	5.0	369041.0	1.0	112.0	72.589	30.6227	115.643	405.2249	370.0	106095.0	179.0	728.0	197.0877	30.4944	59.3041	352.5635	328.0	25311.0	251.0	515.0	122.1825
sub-20_dwi	1	[0.0, 1000.0]	[1000.0]	0.3786	0.2029	0.2191	0.017	0.4024	0.4815	0.0	0.0	1844.5046	558.9058	6.4329	92	98.9247311827957	0.8624	40.0303	15.6119	2.3111	7.26	7.53	7.53	670.27	4654.42	4075.57	3305.09	346.1784	5.9304	25.6277	8.0	859256.0	2.0	99.0	79.4431	17.6868	133.4342	445.3143	362.0	189320.0	171.0	1029.0	292.8065	55.3282	54.8563	317.3059	300.0	54215.0	212.0	455.0	122.7634
sub-21_dwi	1	[0.0, 1000.0]	[1000.0]	0.12	0.0467	0.0415	0.0093	0.4129	0.5164	0.0	0.0	1497.6221	375.9024	3.349	62	98.41269841269842	0.959	50.4085	16.2137	2.9714	6.08	6.19	6.19	944.73	7047.14	6124.83	5464.1	206.4504	7.413	35.3165	9.0	841865.0	3.0	123.0	117.3911	9.4723	148.2602	490.6483	374.0	206711.0	202.0	1238.0	341.8297	54.2551	59.3041	332.1482	311.0	64360.0	220.0	489.0	134.0177
sub-22_dwi	1	[0.0, 1000.0]	[1000.0]	0.0785	0.0362	0.0322	0.002	0.3742	0.4678	0.0	0.0	2210.1597	525.1649	1.6326	92	98.9247311827957	0.1454	44.4781	15.1914	2.3111	6.16	6.22	6.22	559.58	4048.01	3520.35	2924.44	336.0091	4.4478	23.2642	7.0	890967.0	2.0	96.0	69.5625	17.3977	137.882	442.9917	368.0	157609.0	87.0	999.0	295.1436	42.587	56.3389	339.6523	317.0	36651.0	226.0	505.0	142.4898
sub-23_dwi	1	[0.0, 1000.0]	[1000.0]	0.2213	0.0321	0.0236	0.0033	0.3742	0.4754	0.0	0.0	2214.9365	506.8734	2.5652	92	98.9247311827957	0.8628	40.0303	15.014	2.3111	7.24	7.39	7.39	622.5	4288.21	3943.0	3179.08	231.021	4.4478	24.5768	7.0	882442.0	2.0	88.0	87.0857	9.2028	128.9864	473.7137	371.0	166134.0	208.0	1156.0	308.3239	54.3262	51.8911	329.4392	314.0	39462.0	230.0	452.0	114.2294
sub-24_dwi	1	[0.0, 1000.0]	[1000.0]	0.0382	0.0123	0.0105	0.0016	0.4048	0.4883	0.0	0.0	1840.3893	460.0817	0.774	91	97.84946236559139	0.779	41.5129	14.8831	2.3111	6.48	6.65	6.65	662.74	4450.97	4082.14	3230.93	154.5699	4.4478	24.6538	7.0	872775.0	2.0	99.0	74.2468	18.814	121.5734	406.7594	344.0	175801.0	181.0	863.0	245.133	41.8427	54.8563	305.2002	288.0	51646.0	206.0	443.0	116.7412
sub-25_dwi	1	[0.0, 1000.0]	[1000.0]	0.1522	0.061	0.048	0.0011	0.463	0.4874	0.0	0.0	3112.2131	891.0414	1.5089	92	98.9247311827957	0.679	29.652	9.1129	1.6508	9.33	9.46	9.46	828.63	5002.66	4177.09	3810.43	72.8611	4.4478	23.665	5.0	379406.0	1.0	105.0	53.8353	24.8863	93.4039	353.4553	327.0	95730.0	124.0	631.0	167.0542	22.0833	44.4781	308.9851	291.0	22920.0	222.0	449.0	102.0641
sub-26_dwi	1	[0.0, 1000.0]	[1000.0]	0.0702	0.0364	0.0403	0.0015	0.4135	0.4903	0.0	0.0	2029.6456	512.6115	2.3716	62	98.41269841269842	0.8046	72.6475	17.4388	2.6412	4.91	4.99	4.99	797.74	6173.27	5696.61	4668.71	280.4156	5.9304	29.8479	8.0	860898.0	3.0	123.0	86.0508	11.5857	126.0212	485.2446	400.0	187678.0	184.0	1097.0	297.6865	56.779	51.8911	369.7672	354.0	54598.0	263.0	499.0	123.1498
sub-27_dwi	1	[0.0, 1000.0]	[1000.0]	0.1507	0.1041	0.1131	0.0317	0.3743	0.4652	0.0	0.0	2465.1809	584.5598	1.9242	92	98.9247311827957	0.8245	29.652	14.9745	2.3111	8.71	9.01	9.01	598.31	4154.33	3862.93	3097.04	164.085	4.4478	21.0251	7.0	877556.0	2.0	84.0	65.1879	11.6035	133.4342	450.5335	357.0	171020.0	186.0	1113.0	305.696	87.4924	47.4433	302.6004	290.0	43764.0	210.0	422.0	100.9614
sub-28_dwi	1	[0.0, 1000.0]	[1000.0]	0.3127	0.1553	0.1433	0.0434	0.3696	0.4823	0.0	0.0	1942.3658	435.2496	5.6327	62	98.41269841269842	0.8394	32.6172	15.5972	2.4761	7.63	7.81	7.81	814.82	6057.01	5485.41	4574.73	235.6227	5.9304	29.6231	8.0	878760.0	3.0	112.0	98.5474	3.0394	170.4993	519.1615	369.0	169816.0	171.0	1433.0	388.4788	55.1528	50.4085	296.0794	282.0	43148.0	202.0	428.0	102.8929
sub-30_dwi	1	[0.0, 1000.0]	[1000.0]	0.0378	0.0218	0.0213	0.0028	0.3799	0.4606	0.0	0.0	2111.9204	536.0703	0.8053	61	96.82539682539682	0.4711	44.4781	15.0538	2.3111	5.41	5.57	5.57	680.0	5281.96	4832.43	4067.07	207.3649	4.4478	22.0206	7.0	901412.0	2.0	84.0	71.5264	24.125	126.0212	397.211	351.0	147164.0	124.0	798.0	227.5298	31.2983	53.3737	298.5458	287.0	36424.0	183.0	441.0	108.8508
sub-31_dwi	1	[0.0, 1000.0]	[1000.0]	0.1059	0.0617	0.0583	0.0183	0.3848	0.4756	0.0	0.0	2007.4896	490.8567	2.1276	92	98.9247311827957	0.8528	37.0651	15.3583	2.3111	7.02	7.11	7.11	610.6	4292.15	3731.68	3240.11	149.3941	4.4478	21.7004	7.0	877840.0	2.0	94.0	58.8924	11.333	139.3646	430.2405	342.0	170736.0	181.0	1032.0	287.6403	43.245	50.4085	295.8228	271.0	51081.0	191.0	468.0	139.0281
sub-32_dwi	1	[0.0, 1000.0]	[1000.0]	0.0675	0.022	0.0217	0.0058	0.3782	0.4809	0.0	0.0	1763.8516	419.4857	1.5211	62	98.41269841269842	0.5492	31.1346	14.6454	2.3111	6.71	6.89	6.89	693.03	5696.61	5059.14	4260.84	196.3138	4.4478	20.187	7.0	879388.0	2.0	75.0	61.3608	14.0532	124.5386	388.1365	312.0	169188.0	151.0	938.0	267.4935	40.0911	48.9259	264.0162	248.0	47751.0	168.0	398.0	110.6973
